state,schools,location,lat,lon
AK,0,Alaska,28.12768,-117.981766
AL,0,Alabama,32.688053,-86.810585
AR,0,Arkansas,34.755883,-92.640559
AZ,0,Arizona,34.255149,-111.62621
CA,0,California,36.531544,-119.586168
CO,0,Colorado,38.996664,-105.547822
CT,0,Connecticut,41.580163,-72.756629
DC,0,District of Columbia,38.912097,-77.014683
DE,0,Delaware,38.978849,-75.46014
FL,0,Florida,27.97762,-81.769611
GA,0,Georgia,32.53951,-83.380775
HI,0,Hawaii,24.200987,-104.313994
IA,0,Iowa,42.039943,-93.500069
ID,0,Idaho,43.764877,-114.964267
IL,0,Illinois,40.265028,-89.191575
IN,0,Indiana,39.904493,-86.250281
KS,0,Kansas,38.500327,-98.380429
KY,0,Kentucky,37.696825,-84.924095
LA,0,Louisiana,30.542601,-92.51441
MA,0,Massachusetts,42.358752,-71.531484
MD,0,Maryland,39.038828,-76.346717
ME,0,Maine,45.243327,-69.171071
MI,0,Michigan,43.924812,-84.633107
MN,0,Minnesota,46.63636,-94.579641
MO,0,Missouri,38.353141,-92.747022
MS,0,Mississippi,32.921921,-89.687118
MT,0,Montana,47.001265,-109.645406
NC,0,North Carolina,35.387362,-78.455056
ND,0,North Dakota,47.471495,-100.469096
NE,0,Nebraska,41.499671,-99.810075
NH,0,New Hampshire,43.644386,-71.586283
NJ,0,New Jersey,39.66502,-74.738208
NM,0,New Mexico,34.498624,-106.108278
NV,0,Nevada,39.440688,-116.598569
NY,0,New York,42.165726,-74.948051
OH,0,Ohio,40.262259,-82.883453
OK,0,Oklahoma,35.455622,-97.508021
OR,0,Oregon,43.854178,-120.526709
PA,0,Pennsylvania,40.860198,-77.838617
RI,0,Rhode Island,41.587536,-71.514739
SC,0,South Carolina,33.702857,-80.627523
TN,0,Tennessee,35.820245,-86.343764
TX,0,Texas,31.030974,-98.326329
UT,0,Utah,39.098999,-111.878816
VA,0,Virginia,37.73086,-78.376655
VT,0,Vermont,44.211857,-72.681238
WA,0,Washington,47.372269,-120.59234
WI,0,Wisconsin,44.356004,-89.466198
WY,0,Wyoming,43.001645,-107.55153
